brand,model,color,bluetooth,battery,ratings,last_month_sales,price,mrp_price,discount,delivery_type,delivery
Soundcore,Sport X10,Unknown,5.3,49,4.0,0,44990,159980,72,fastest delivery,free delivery
Acwo,Dwots 121 Wireless,Unknown,5.4,55,4.2,0,9490,35990,74,fastest delivery,free delivery
pTron,Bassbuds GoMax In-Ear,Green,5.3,36,3.6,0,6990,28990,76,fastest delivery,free delivery
Noise,Buds VS601 in-Ear,Green,5.3,50,3.6,50,9990,39990,75,fastest delivery,free delivery
Blaupunkt,BTW300 Xtreme,Black,1.0,150,4.1,0,13980,59990,77,fastest delivery,free delivery
Hammer,Airflow Plus,Green,5.1,23,4.1,200,6990,49990,86,fastest delivery,free delivery
Sounce,Earphone Case Cover Compatible for GOBOULT Z40,Black,5.3,49,3.8,0,2090,4990,58,fastest delivery,free delivery
Truefree,C10 Wireless Earbuds,Unknown,5.4,28,4.4,0,580042,95940,40,Unknown,free delivery
Amazon,basics,Grey,5.3,80,3.6,0,8080,24990,68,fastest delivery,free delivery
Amazon,Basics,Black,5.4,36,3.9,500,6990,14990,53,fastest delivery,free delivery
Truke,Mega 8,Unknown,5.3,70,4.3,200,10990,1099000,73,fastest delivery,free delivery
Truke,BTG Crystal,White,5.4,68,3.6,0,8990,34990,74,fastest delivery,free delivery
Truke,Crystal Dyno Leather Finish,Unknown,5.3,70,4.1,500,8990,29990,70,fastest delivery,free delivery
Blaupunkt,BTW300 BASS Buds,Black,5.3,40,4.0,50,12990,39990,68,fastest delivery,free delivery
Realme,Buds Wireless 3,Black,5.3,40,4.2,100,9990,44990,67,Unknown,Unknown
Truke,Mega 10,Jet Black,5.3,70,4.0,300,10990,1099000,76,fastest delivery,free delivery
Skullcandy,Smokin Buds XT Wireless,Red,5.3,20,3.4,0,21990,99990,78,fastest delivery,free delivery
Wireless,Earbud,Unknown,5.3,50,4.5,200,27990,2799000,44,fastest delivery,free delivery
Noise,Buds Connect 2,Green,5.3,50,3.8,50,9990,39990,75,Unknown,free delivery
boAt,Immortal 121,White,5.3,40,3.8,0,9990,34990,71,fastest delivery,free delivery
Truke,Mega 10,Royal Blue,5.3,70,4.0,400,10990,1099000,76,fastest delivery,free delivery
Hoppup,Xo6 Gaming Earbuds,Red,5.3,50,3.9,0,7890,49990,84,fastest delivery,free delivery
Truke,Air Buds Lite,Black,5.1,10,3.6,50,6290,29990,79,fastest delivery,free delivery
Cmf,BY NOTHING Buds Pro Light Grey,Grey,5.3,39,4.0,0,39900,44990,11,Unknown,free delivery
boAt,Airdopes 191 ANC,White,5.3,60,3.5,200,12990,69900,81,fastest delivery,free delivery
Portronics,Harmonics Twins 31 Over Ear OWS Smart Wireless Earbuds,Beige,5.4,24,3.8,0,13790,29990,54,fastest delivery,free delivery
Apex,S1,Black,5.3,100,4.8,50,8990,69990,87,fastest delivery,free delivery
Blaupunkt,BTW100 LITE,Black,5.3,30,3.7,100,6990,699000,80,fastest delivery,free delivery
boAt,Airdopes Ultra Pro,Black,5.3,100,3.8,0,17190,69900,75,Unknown,free delivery
Amazon,Basics,Black,5.3,50,3.4,0,6570,24990,74,fastest delivery,free delivery
Amazon,basics,Black,5.3,60,3.4,0,6920,24990,72,Unknown,free delivery
Amazon,basics,Black,5.3,50,3.5,0,8990,24990,64,fastest delivery,free delivery
Acwo,DwOTS Fire India's First in-Ear + Half-in-in Ear Earbuds,Silver,5.3,49,3.7,100,19040,79990,76,fastest delivery,free delivery
Gm,True Wireless Earbuds for Uncut Sound,White,5.3,49,4.3,0,16990,39990,58,fastest delivery,free delivery
Tagry,Bluetooth Earbuds 5.4 40hrs Playtime Wireless Charging Case Digital Display Sport Ear Buds,Unknown,5.3,40,4.4,0,39990,3999000,27,fastest delivery,free delivery
Blaupunkt,BTW300 BASS Buds,Black,5.3,40,4.0,50,12990,39990,68,fastest delivery,free delivery
pTron,Bassbuds Neo,Grey,5.3,35,3.5,0,5990,31990,81,fastest delivery,free delivery
boAt,Immortal 121,White,5.3,40,3.8,0,9990,34990,71,fastest delivery,free delivery
Jlab,Go Pods ANC Earbuds - Hybrid Active Noise Cancelling,Unknown,5.3,49,4.1,0,24990,2499000,46,fastest delivery,free delivery
MIVI,SuperPods Halo [Flagship ],Unknown,5.4,60,3.9,0,14990,74990,80,fastest delivery,free delivery
Amazon,basics,Blue,5.3,50,3.8,0,6560,24990,74,fastest delivery,free delivery
Sony,WF-1000XM5 Active Noise Cancelling Wireless,Black,5.3,36,3.8,100,220680,299900,26,fastest delivery,free delivery
Dudao,U4A Open-Ear Wireless Earbud Earhook Design 24H Battery Long Battery Life,Black,5.3,24,3.4,0,5990,29990,80,Unknown,free delivery
TOZO,T6 Ergonomic Edition Wireless Earbuds,Unknown,5.3,3,3.9,0,23900,45980,48,fastest delivery,free delivery
Bose,Ultra Wireless Open Earbuds,Blue,5.3,48,3.4,0,189990,259000,27,fastest delivery,free delivery
pTron,Bassbuds Blaze in-Ear,Black,5.4,50,3.7,300,6990,31990,78,fastest delivery,free delivery
